pathway,n_genes,corr,abs_corr,sign
REACTOME_2_LTR_CIRCLE_FORMATION,0,,,0
REACTOME_ABACAVIR_METABOLISM,1,,,0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,2,,,0
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM,3,,,0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,17,0.4457252323627472,0.4457252323627472,1
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,8,,,0
REACTOME_ABC_TRANSPORTER_DISORDERS,11,-0.00489779282361269,0.00489779282361269,-1
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,7,,,0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,7,,,0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,6,,,0
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,2,,,0
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,0,,,0
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,2,,,0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,1,,,0
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,2,,,0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,5,,,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,0,,,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,1,,,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,1,,,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,1,,,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,1,,,0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,1,,,0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,1,,,0
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,0,,,0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,3,,,0
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,4,,,0
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,21,-0.04514818638563156,0.04514818638563156,-1
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,12,-0.12196006625890732,0.12196006625890732,-1
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,1,,,0
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,7,,,0
REACTOME_ACTIVATION_OF_C3_AND_C5,1,,,0
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,1,,,0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,13,0.4183870553970337,0.4183870553970337,1
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,4,,,0
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,11,-0.004956535063683987,0.004956535063683987,-1
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,7,,,0
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,0,,,0
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,17,-0.5713275074958801,0.5713275074958801,-1
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,3,,,0
REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,1,,,0
